run_id	commit	resolution	wall_time_ms	model_ms	decode_ms	encode_ms	peak_vram_gb	text_score	layout_score	motion_score	loop_error	status	description
20260424T094435Z-modal-ltx-s2-seed584-960x544	nogit	960x544	1541.860	765.270	0.000	213.676	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094436Z-modal-ltx-s3-seed584-960x544	nogit	960x544	1700.388	875.822	0.000	220.973	14.1679	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094438Z-modal-ltx-s4-seed584-960x544	nogit	960x544	1763.793	936.787	0.000	222.079	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094440Z-modal-ltx-s6-seed584-960x544	nogit	960x544	1960.195	1125.183	0.000	224.280	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094442Z-modal-ltx-s8-seed584-960x544	nogit	960x544	2122.984	1295.137	0.000	225.830	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094444Z-modal-ltx-s2-seed584-1024x576	nogit	1024x576	1670.543	850.151	0.000	221.603	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094445Z-modal-ltx-s3-seed584-1024x576	nogit	1024x576	1758.795	947.228	0.000	221.335	14.1699	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094447Z-modal-ltx-s4-seed584-1024x576	nogit	1024x576	1870.787	1050.518	0.000	231.076	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094449Z-modal-ltx-s6-seed584-1024x576	nogit	1024x576	2088.960	1242.110	0.000	219.329	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094451Z-modal-ltx-s8-seed584-1024x576	nogit	1024x576	2256.492	1438.861	0.000	222.298	14.1696	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094453Z-modal-ltx-s2-seed584-1280x736	nogit	1280x736	2268.424	1381.152	0.000	255.042	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094456Z-modal-ltx-s3-seed584-1280x736	nogit	1280x736	2567.660	1567.181	0.000	255.084	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094458Z-modal-ltx-s4-seed584-1280x736	nogit	1280x736	2629.002	1772.805	0.000	264.470	14.1752	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094501Z-modal-ltx-s6-seed584-1280x736	nogit	1280x736	3068.074	2108.040	0.000	265.595	14.1752	NA	NA	NA	NA	fail	Modal LTX I2V steps=6 guidance=1.0
20260424T094504Z-modal-ltx-s8-seed584-1280x736	nogit	1280x736	3328.426	2462.663	0.000	268.171	14.1752	NA	NA	NA	NA	fail	Modal LTX I2V steps=8 guidance=1.0
20260424T094507Z-modal-ltx-s2-seed585-768x448	nogit	768x448	1226.486	469.835	0.000	213.794	14.0137	NA	NA	NA	NA	pass	Modal LTX I2V steps=2 guidance=1.0
20260424T094509Z-modal-ltx-s3-seed585-768x448	nogit	768x448	1291.562	522.576	0.000	201.014	14.0137	NA	NA	NA	NA	pass	Modal LTX I2V steps=3 guidance=1.0
